證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,本益比,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
2364,倫飛         ,199712,16491,63.24,20.466,3.2232,0.84073,0.0676,0.12328,0.04789,0.032146,0.82364,189.95,123.07,8.06,12.96,64.81,47.59,-11.7489,1
2520,冠德         ,199712,16448,21.5,9.3478,0.96934,1.5739,0.045848,0.094578,0.12037,0.15364,1.0629,206.31,4.83,0.37,35.02,86.25,60.4,-35.4419,-1
2006,東鋼         ,199712,16184,10.93,20.2407,0.6278,0.54842,0.015186,0.029624,0.064177,0.025881,0.95077,150.51,70.01,4.73,8.97,250.41,256.6,-30.7411,-1
2328,廣宇         ,199712,16148,49.28,14.8882,2.9831,1.1639,0.06941,0.20006,0.083368,0.078075,1.8824,128.06,61.43,3.46,5.93,412.79,1053.73,-74.5739,-1
1718,中纖         ,199712,15879,12.5,13.2979,0.86926,1.8302,0.02911,0.059332,0.045349,0.12502,1.0382,146.86,95.21,5.41,8.84,204.63,4.9,-54.32,-1
2103,台橡         ,199712,15589,13.14,5.4979,0.88425,1.0622,0.12437,0.14776,0.087209,0.19351,0.18812,320.77,246.14,7.24,7.72,-64.67,-11.82,-30.8219,-1
8382,美式         ,199712,15281,50.03,18.1927,2.978,2.9656,0.089918,0.1482,0.082963,0.16319,0.6482,136.73,50.47,2.2,5.69,191.83,1178.36,4.937,1
8295,中強         ,199712,15055,31.39,26.3782,2.1951,0.54734,0.023854,0.077446,0.018011,0.020103,2.2467,147.59,68.88,2.59,5.74,268.55,407.06,-15.2596,1
1419,新紡         ,199712,14955,47.77,477.7,4.4068,14.9749,0.0050944,0.0095505,-0.090442,0.032426,0.87469,49.8,36.36,3.74,4.79,38.65,120.52,-46.5983,-1
1207,嘉食化       ,199712,14921,32.17,189.2353,2.8145,4.5056,0.0061484,0.013144,0.014775,0.021027,1.1377,129.18,53.35,1.76,4.68,-38.52,2.87,-13.4908,1
2604,立榮         ,199712,14829,27.85,103.1481,1.644,0.65452,0.0048181,0.016148,0.052094,0.006429,2.3515,68.1,63.87,0,5.91,-11.79,-84.61,-25.2783,-1
1710,東聯         ,199712,14529,10.99,7.5274,0.85792,1.3068,0.093214,0.11394,0.16297,0.17351,0.2224,127.44,77.46,10.64,7.13,40.46,44.93,-29.7543,-1
1103,嘉泥         ,199712,14514,17.91,10.4128,1.2894,2.2166,0.04541,0.10727,0.074251,0.19906,1.3621,152.47,129.62,3.34,5.37,-34.09,29.99,-27.694,-1
2523,德寶         ,199712,14331,19.93,10.9505,1.4547,1.2866,0.096352,0.13299,0.084235,0.11761,0.38029,308.4,161.69,14.58,3.6,11.57,37.9,-32.8149,-1
2525,寶祥         ,199712,14196,19.13,-31.3607,1.3067,8.4273,-0.01993,-0.030988,0.12832,-0.19684,0.55483,184.39,76.7,0.21,11.14,-69.83,-147.71,-57.9195,-1
1701,中化         ,199712,14142,37.68,-471,2.3863,3.7642,-0.0025571,-0.0042851,0.0027543,-0.0068365,0.67578,137.38,82.38,2.17,2.33,-61.3,71.95,-69.3471,-1
3258,誠洲         ,199712,14040,37.45,30.6967,2.6693,0.73764,0.034577,0.084812,0.023421,0.023442,1.4528,226.06,151.64,6.24,5.1,-33.45,11.77,-25.287,-1
1109,信大         ,199712,14023,19.83,16.6639,1.4645,3.1082,0.070706,0.086241,0.12212,0.18705,0.2197,295.53,256.54,5.97,3.42,-36.29,-8.15,-41.2002,-1
2028,威致         ,199712,13971,57.04,51.3874,3.8671,4.0772,0.033812,0.064589,0.10935,0.068112,0.91025,143.19,31.92,1.52,8.18,1.51,23.38,-66.3043,-1
1904,正隆         ,199712,13931,9.41,25.4324,0.73173,0.57065,0.01443,0.028471,0.06557,0.022204,0.97304,185.42,80.61,3.04,5.55,173.98,-29.58,-33.2625,-1
1810,和成         ,199712,13699,30.56,50.9333,1.7987,2.3364,0.02009,0.035474,0.06465,0.046065,0.76571,155.83,77.58,1.34,2.71,-51.37,-51.74,-48.3639,-1
9933,中鼎         ,199712,13411,11.92,7.9467,0.77302,0.40202,0.034862,0.094495,0.05529,0.049619,1.7105,126.15,71.73,2.55,9.67,67.21,122.05,22.4832,1
